strategy,combination,filters,gate_threshold,ichimoku_mode,train_sharpe,train_win_rate,train_trades,train_cagr,train_max_dd,test_sharpe,test_win_rate,test_trades,test_cagr,test_max_dd,sharpe_degradation,combined_score
MAJORITY_3,lr_direction+cycle_direction+entropy_gate,lr_direction+cycle_direction+entropy_gate,2,standard,0.66,51.4,70,23.79,-71.26,0.61,62.5,24,18.4,-51.02,-7.6,1.5885416666666665
MAJORITY_4,msvr_direction+smooth_direction+lr_direction+trend_filter,msvr_direction+smooth_direction+lr_direction+trend_filter,2,standard,0.99,30.2,43,44.35,-61.12,0.61,47.6,21,17.7,-34.06,-38.4,1.3826666666666667
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+rsi_strict,msvr_direction+smooth_direction+cycle_direction+rsi_strict,3,standard,1.23,39.2,97,54.48,-44.27,0.59,52.4,42,13.3,-30.19,-52.0,0.736095238095238
OR,ichimoku_or_smooth_direction,smooth_direction,1,standard,0.82,37.3,59,34.9,-77.92,0.54,41.4,29,14.26,-38.42,-34.1,0.770896551724138
MAJORITY_4,msvr_direction+cycle_direction+entropy_gate+lr_direction,msvr_direction+cycle_direction+entropy_gate+lr_direction,3,standard,0.98,46.2,52,43.19,-61.65,0.53,43.8,32,13.05,-33.52,-45.9,0.7254375
EXIT_FILTER,ichimoku_exit_msvr_direction,msvr_direction,1,standard,1.4,46.7,195,63.7,-50.43,0.52,49.5,101,10.19,-26.88,-62.9,0.2548514851485149
MAJORITY_5,msvr_direction+smooth_direction+cycle_direction+lr_direction+entropy_gate,msvr_direction+smooth_direction+cycle_direction+lr_direction+entropy_gate,2,standard,0.62,44.2,52,20.79,-72.29,0.51,37.5,16,13.96,-55.02,-17.7,1.1953125
MAJORITY_4,msvr_direction+cycle_direction+entropy_gate+lr_direction,msvr_direction+cycle_direction+entropy_gate+lr_direction,4,standard,1.13,57.4,61,43.05,-36.1,0.47,46.7,30,8.72,-26.99,-58.4,0.7316333333333334
MAJORITY_5,msvr_direction+smooth_direction+cycle_direction+lr_direction+er_gate,msvr_direction+smooth_direction+cycle_direction+lr_direction+er_gate,2,standard,0.7,44.0,100,26.61,-67.64,0.47,49.0,49,11.79,-50.3,-32.9,0.4699999999999999
MAJORITY_3,lr_direction+cycle_direction+entropy_gate,lr_direction+cycle_direction+entropy_gate,2,strict,0.58,53.2,77,17.85,-74.05,0.45,69.6,23,10.93,-57.64,-22.4,1.3617391304347826
