date,composite,price
2011-05-20 00:00:00+00:00,-1.2126094604954862,6.28
2011-05-21 00:00:00+00:00,-1.238592355657717,5.97
2011-05-22 00:00:00+00:00,-1.1630302444275462,6.47
2011-05-23 00:00:00+00:00,-1.2446524937696273,7.1
2011-05-24 00:00:00+00:00,-1.1921225973973808,7.23
2011-05-25 00:00:00+00:00,-1.2534879971994053,7.98
2011-05-26 00:00:00+00:00,-1.278344673729519,8.55
2011-05-27 00:00:00+00:00,-1.145248604790775,8.67
2011-05-28 00:00:00+00:00,-1.432692676802263,8.45
2011-05-29 00:00:00+00:00,-1.2497663376675865,8.3
2011-05-30 00:00:00+00:00,-1.197366862961625,8.72
2011-05-31 00:00:00+00:00,-1.262054520681518,8.88
2011-06-01 00:00:00+00:00,-1.3833797471140836,9.21
2011-06-02 00:00:00+00:00,-1.457981536375284,10.11
2011-06-03 00:00:00+00:00,-1.473327566320646,13.08
2011-06-04 00:00:00+00:00,-1.5,16.41
2011-06-05 00:00:00+00:00,-1.5,17.32
2011-06-06 00:00:00+00:00,-1.5,18.46
2011-06-07 00:00:00+00:00,-1.5,19.9
2011-06-08 00:00:00+00:00,-1.5,27.25
2011-06-09 00:00:00+00:00,-1.5,29.58
2011-06-10 00:00:00+00:00,-1.5,24.67
2011-06-11 00:00:00+00:00,-1.191189959874344,17.61
2011-06-12 00:00:00+00:00,-0.9386456499437903,16.21
2011-06-13 00:00:00+00:00,-1.0959221292679917,20.11
2011-06-14 00:00:00+00:00,-0.9742434454671745,19.25
2011-06-15 00:00:00+00:00,-0.953735517835022,19.68
2011-06-16 00:00:00+00:00,-0.9116181503370204,18.86
2011-06-17 00:00:00+00:00,-0.6248458189493179,15.51
2011-06-18 00:00:00+00:00,-0.9815862496464539,16.04
2011-06-19 00:00:00+00:00,-0.6347094243857951,17.77
2011-06-20 00:00:00+00:00,-0.5836489455084923,17.51
2011-06-21 00:00:00+00:00,-0.5357417318212718,17.51
2011-06-22 00:00:00+00:00,-0.4565979049637359,17.51
2011-06-23 00:00:00+00:00,-0.45010787857124435,17.51
2011-06-24 00:00:00+00:00,-0.4413928005856744,17.51
2011-06-25 00:00:00+00:00,-0.9049189863589352,17.51
2011-06-26 00:00:00+00:00,-0.4331020154713295,15.59
2011-06-27 00:00:00+00:00,-0.367754699478134,17.01
2011-06-28 00:00:00+00:00,-0.3551840134783216,16.93
2011-06-29 00:00:00+00:00,-0.3462367041882529,16.88
2011-06-30 00:00:00+00:00,-0.3265719513160227,16.51
2011-07-01 00:00:00+00:00,-0.4672159186502583,15.9
2011-07-02 00:00:00+00:00,-0.7740243940782895,15.53
2011-07-03 00:00:00+00:00,-0.2658207768348708,15.48
2011-07-04 00:00:00+00:00,-0.2233414924789028,14.48
2011-07-05 00:00:00+00:00,-0.1551723090146937,12.8
2011-07-06 00:00:00+00:00,-0.22515922583525752,14.8
2011-07-07 00:00:00+00:00,-0.23319206809921,15.16
2011-07-08 00:00:00+00:00,-0.19842755522994537,14.35
2011-07-09 00:00:00+00:00,-0.6901105847360435,14.39
2011-07-10 00:00:00+00:00,-0.2918794243261972,15.08
2011-07-11 00:00:00+00:00,-0.1776303824154599,14.37
2011-07-12 00:00:00+00:00,-0.1655496093051865,14.15
2011-07-13 00:00:00+00:00,-0.15671446564499672,14.03
2011-07-14 00:00:00+00:00,-0.14939359839378125,13.93
2011-07-15 00:00:00+00:00,-0.14440992369080338,13.9
2011-07-16 00:00:00+00:00,-0.6070556858767467,13.62
2011-07-17 00:00:00+00:00,-0.09371048729221299,13.34
2011-07-18 00:00:00+00:00,-0.08780986289131529,13.03
2011-07-19 00:00:00+00:00,-0.3956579394781117,14.04
2011-07-20 00:00:00+00:00,-0.10781016362160431,13.69
2011-07-21 00:00:00+00:00,-0.10338556517185221,13.66
2011-07-22 00:00:00+00:00,-0.09979030042681208,13.65
2011-07-23 00:00:00+00:00,-0.5933499101638628,13.64
2011-07-24 00:00:00+00:00,-0.10848390770360478,13.86
2011-07-25 00:00:00+00:00,-0.20318525451373842,14.2
2011-07-26 00:00:00+00:00,-0.17246734400912056,13.91
2011-07-27 00:00:00+00:00,-0.20959466104948976,13.96
2011-07-28 00:00:00+00:00,-0.1396429528885925,13.61
2011-07-29 00:00:00+00:00,-0.11906963283386607,13.51
2011-07-30 00:00:00+00:00,-0.5145494782772584,13.53
2011-07-31 00:00:00+00:00,-0.4361963459785885,13.52
2011-08-01 00:00:00+00:00,-0.4131613984706267,13.17
2011-08-02 00:00:00+00:00,-0.24692082561739015,12.39
2011-08-03 00:00:00+00:00,-0.17566012530872177,10.45
2011-08-04 00:00:00+00:00,-0.17790439072504155,10.58
2011-08-05 00:00:00+00:00,-0.16381267348180886,10.27
2011-08-06 00:00:00+00:00,-0.2816263735740819,7.82
2011-08-07 00:00:00+00:00,0.004624638173847605,7.72
2011-08-08 00:00:00+00:00,0.0037814344574959146,7.74
2011-08-09 00:00:00+00:00,-0.06998532609402225,9.72
2011-08-10 00:00:00+00:00,0.25356347357866665,10.0
2011-08-11 00:00:00+00:00,-0.056048916938809284,9.47
2011-08-12 00:00:00+00:00,-0.04839301851551224,9.32
2011-08-13 00:00:00+00:00,-0.3719849240329021,9.8
2011-08-14 00:00:00+00:00,-0.13044449235315778,10.61
2011-08-15 00:00:00+00:00,-0.15494266583630775,11.3
2011-08-16 00:00:00+00:00,-0.3801497619907801,11.05
2011-08-17 00:00:00+00:00,-0.47660706938476555,10.88
2011-08-18 00:00:00+00:00,-0.4668784900251604,10.9
2011-08-19 00:00:00+00:00,-0.5431445034461088,11.4
2011-08-20 00:00:00+00:00,-0.5757882070525464,11.49
2011-08-21 00:00:00+00:00,-0.735689029280255,11.38
2011-08-22 00:00:00+00:00,-0.7188739150155065,11.03
2011-08-23 00:00:00+00:00,-0.6234040007829861,11.03
2011-08-24 00:00:00+00:00,-0.5303059235917629,10.94
2011-08-25 00:00:00+00:00,-0.4244153002351177,10.01
2011-08-26 00:00:00+00:00,-0.2370246088476942,8.65
2011-08-27 00:00:00+00:00,-0.3416020747333082,8.63
2011-08-28 00:00:00+00:00,-0.20734305028255287,8.97
2011-08-29 00:00:00+00:00,-0.20260678370741228,8.93
2011-08-30 00:00:00+00:00,-0.19311958166442547,8.78
2011-08-31 00:00:00+00:00,-0.1711839794139626,8.35
2011-09-01 00:00:00+00:00,-0.16355562922661002,8.22
2011-09-02 00:00:00+00:00,-0.1710560343428645,8.44
2011-09-03 00:00:00+00:00,-0.26448495613621725,8.53
2011-09-04 00:00:00+00:00,-0.14759590207291082,8.17
2011-09-05 00:00:00+00:00,-0.12098072443189804,7.62
2011-09-06 00:00:00+00:00,0.0007264967884794508,6.73
2011-09-07 00:00:00+00:00,-0.008358494404753206,7.03
2011-09-08 00:00:00+00:00,0.0018600645339484911,6.8
