date,lth_supply,sth_supply,total_supply,realized_cap,coindays_destroyed_1m,lth_ratio,sth_ratio,active_ratio,illiquidity_factor,illiquidity_4y_mean,iip_multiplier,iip_penalty,spot_price,realized_price,mvrv
2014-07-03 00:00:00+00:00,8689344.38834912,4287520.40113342,12976864.78948254,4543500659.78,177165757.7225418,0.6696027530002193,0.33039724699978074,0.3303972469997807,2.0266596016784115,1.3913419199394577,1.4566222526858092,1.1217483870194815,647.44,350.1231409502244,1.8491779727637139
2014-07-04 00:00:00+00:00,8701702.88554194,4279311.9039406,12981014.78948254,4547914557.68,175081341.49657917,0.6703407265657091,0.329659273434291,0.3296592734342909,2.033435066401444,1.3919286790644037,1.460875903331652,1.1341584049350706,629.0,350.3512345864366,1.795341183091555
2014-07-05 00:00:00+00:00,8788468.74294803,4196346.04653451,12984814.78948254,4551836117.5,174300884.81214428,0.6768266537052594,0.32317334629474065,0.3231733462947406,2.0943145883323555,1.3925553226202345,1.503936363829115,1.2618245864475401,630.68,350.5507156857488,1.7991120022854925
2014-07-06 00:00:00+00:00,8834207.35890037,4154157.43058217,12988364.78948254,4555483350.48,172337106.41332436,0.6801631692739304,0.3198368307260696,0.3198368307260696,2.1265942628617065,1.3932027906525835,1.5264068354798506,1.3299178273996115,631.84,350.73571033120726,1.8014703989033223
2014-07-07 00:00:00+00:00,8851600.89692009,4140513.89256245,12992114.78948254,4559856506.88,172734763.7293167,0.6813056257850874,0.3186943742149127,0.31869437421491265,2.1378024869860006,1.3938503622294347,1.533738875360071,1.3523549377907753,623.88,350.97107597689364,1.7775823784438392
2014-07-08 00:00:00+00:00,8867535.39173577,4128329.39774677,12995864.78948254,4562525622.66,171348452.59493637,0.6823351531721231,0.31766484682787693,0.3176648468278769,2.1479718640125096,1.3945015187072582,1.54031518445655,1.3725708674674153,624.47,351.07518403488,1.778735804744199
2014-07-09 00:00:00+00:00,8863032.26882825,4136982.52065429,13000014.78948254,4572099164.14,171864803.21011353,0.6817709373683751,0.318229062631625,0.31822906263162487,2.1423905526742493,1.3951173945729956,1.5356346075306244,1.3581736478457347,620.84,351.69953559121996,1.7652568092145615
2014-07-10 00:00:00+00:00,8871462.83027561,4132276.95909773,13003739.78937334,4576394397.37,164037988.1424265,0.6822239581820433,0.3177760418179567,0.3177760418179567,2.146870337609865,1.3957324751054743,1.5381675040896556,1.3659592706374006,616.79,351.9290966672396,1.7525973437291402
2014-07-11 00:00:00+00:00,8890078.33826875,4117561.45110459,13007639.78937334,4580305953.98,152342081.8692236,0.6834505323195946,0.3165494676804053,0.31654946768040537,2.1590639129098768,1.3963667631638736,1.5462011628076078,1.3907380358675985,633.7,352.1242921964909,1.799648629883182
2014-07-12 00:00:00+00:00,8901162.42469804,4110402.3646753,13011564.78937334,4584541923.61,103787346.33396244,0.6840962304524432,0.31590376954755683,0.31590376954755683,2.1655209478260367,1.3970177856900148,1.5501026329141852,1.402818172567489,636.18,352.34362644485583,1.8055669302693245
2014-07-13 00:00:00+00:00,8910614.95664542,4104949.83267332,13015564.78931874,4588496901.27,100802711.12450504,0.6846122393365474,0.31538776066345264,0.31538776066345264,2.170700086447206,1.3976796440834385,1.5530741222683355,1.4120392292595607,629.33,352.5392079055658,1.7851347761823355
2014-07-14 00:00:00+00:00,8919226.14322378,4099713.64609496,13018939.78931874,4591053552.49,101203337.33586407,0.6850961973525271,0.3149038026474728,0.31490380264747286,2.175572957813646,1.398359392307126,1.5558038725825771,1.4205256899429437,619.9,352.6441958243546,1.7578624782151822
2014-07-15 00:00:00+00:00,8929570.47058829,4093344.31873045,13022914.78931874,4594991384.97,102338120.90164375,0.6856814019786285,0.3143185980213714,0.3143185980213715,2.1814853027946084,1.3990506694162754,1.5592611121831546,1.431295215966648,623.82,352.8389350085255,1.7680021621903121
2014-07-16 00:00:00+00:00,8943724.5724404,4082790.21687834,13026514.78931874,4597918152.1,100594555.64848137,0.686578468384646,0.313421531615354,0.313421531615354,2.1905912616981533,1.399720747412978,1.5650202126009027,1.4492882658493746,616.93,352.9661023277019,1.7478448948257017
2014-07-17 00:00:00+00:00,8959313.96951794,4071500.8196097,13030814.78912764,4602737622.34,101630523.8527193,0.6875482550019215,0.31245174499807854,0.3124517449980785,2.2004942075332297,1.4003990905834425,1.5713336450514594,1.469089424070706,626.08,353.21947988857374,1.7724956737875912
2014-07-18 00:00:00+00:00,8999960.90654694,4035153.8825807,13035114.78912764,4607262613.6,102229326.87429047,0.690439712433806,0.3095602875661939,0.309560287566194,2.230388522578716,1.4010974382576893,1.5918868036417777,1.5341035956088356,631.85,353.4500990695408,1.7876639493477253
2014-07-19 00:00:00+00:00,8994994.82356307,4044544.96556457,13039539.78912764,4609441183.23,103437630.02483463,0.6898245619882298,0.31017543801177005,0.31017543801177017,2.2239819065301143,1.4017902923010566,1.5865296818965837,1.5170764315388752,629.31,353.49722902593146,1.780240263082333
2014-07-20 00:00:00+00:00,9004291.78194837,4039123.00717927,13043414.78912764,4612709441.85,104037968.58311939,0.6903323958886834,0.3096676041113166,0.30966760411131655,2.229269018532946,1.4024828938894385,1.5895160135255704,1.5265611572542213,626.99,353.64277809327444,1.7729472757241753
2014-07-21 00:00:00+00:00,9009108.46417215,4038181.32380889,13047289.78798104,4619627670.03,108021028.9625597,0.6904965407046603,0.30950345929533957,0.30950345929533973,2.2309816577712716,1.4031689729400867,1.5899593711059996,1.5279708017677858,622.24,354.06798998865867,1.7574025825376964
2014-07-22 00:00:00+00:00,9016698.62605315,4034141.16192789,13050839.78798104,4623172210.43,108816421.57224464,0.690890300741944,0.3091096992580559,0.309109699258056,2.2350974505176033,1.4038558702123058,1.5921131919187603,1.5348244158817432,620.0,354.2432736541319,1.7502096612999962
2014-07-23 00:00:00+00:00,9012532.68591682,4041957.10206422,13054489.78798104,4629791563.17,111663605.00754261,0.6903780103466354,0.3096219896533646,0.3096219896533646,2.2297447643158157,1.4045375084480878,1.5875295254873771,1.520249994294177,620.12,354.6512838389547,1.7485344851637228
2014-07-24 00:00:00+00:00,9021351.32523248,4036713.46266666,13058064.78789914,4632778783.95,108420602.97133827,0.6908643410616657,0.3091356589383342,0.3091356589383343,2.2348257830698137,1.4052172874566806,1.5903773765227807,1.5293001997554825,603.97,354.7829528494282,1.702364770204526
2014-07-25 00:00:00+00:00,9080751.16968062,3981388.61813662,13062139.78781724,4635460474.44,109520301.24251747,0.6951962938070858,0.3048037061929142,0.3048037061929142,2.2808000023696797,1.405939841000563,1.6222600255402866,1.6317275904659714,602.58,354.87757363945747,1.6979940259966924
2014-07-26 00:00:00+00:00,9092327.31380728,3973162.47327286,13065489.78708014,4637177072.06,107272062.3511982,0.6959040542665506,0.3040959457334494,0.30409594573344945,2.28843581780776,1.4066722846505606,1.6268436101136685,1.646620131767674,595.07,354.91796692118584,1.6766409578023507
2014-07-27 00:00:00+00:00,9100269.03483892,3969045.75224122,13069314.78708014,4639915601.44,107505809.93933105,0.696308045455843,0.30369195454415693,0.303691954544157,2.2928103133354476,1.4074027277351322,1.629107481570084,1.6539911865076213,591.75,355.0236318454013,1.66679045257946
2014-07-28 00:00:00+00:00,9126049.10333692,3947015.68374322,13073064.78708014,4640917582.19,111416105.27176476,0.6980803087854364,0.3019196912145635,0.30191969121456363,2.312139052531474,1.4081445511005062,1.6419756414385651,1.6960840070775873,589.97,354.99843822211676,1.6618946352402413
2014-07-29 00:00:00+00:00,9136368.13907324,3940421.6480069,13076789.78708014,4641402217.24,101441943.29557323,0.698670567305438,0.3013294326945619,0.301329432694562,2.3186270290882427,1.4088885863334861,1.6457135444061437,1.7083730702418323,584.38,354.9343755472541,1.6464452030011918
2014-07-30 00:00:00+00:00,9167969.02933903,3913120.75765921,13081089.78699824,4641491253.46,100363137.97558403,0.7008566700957439,0.29914332990425613,0.2991433299042561,2.342879148667832,1.4096467949821858,1.6620327567214737,1.7623528844151815,562.11,354.82450843456047,1.5841915838338116
2014-07-31 00:00:00+00:00,9204023.23322309,3880916.55363865,13084939.78686174,4645098960.84,98967606.10903358,0.70340585307581,0.29659414692419,0.29659414692418995,2.371610702269192,1.4104267393916379,1.6814845011320074,1.8273901275471558,582.03,354.9958224113517,1.6395404206350694
2014-08-01 00:00:00+00:00,9275651.85458044,3813212.93211744,13088864.78669788,4652975410.17,100616807.00662708,0.7086674059011763,0.29133259409882367,0.2913325940988237,2.4325029888718435,1.411249274512827,1.7236522510961505,1.9709770827088269,598.84,355.4911358622014,1.6845427061003502
2014-08-02 00:00:00+00:00,9326141.05937801,3766798.72731984,13092939.78669785,4656371273.93,97825311.01823902,0.7123030588480344,0.2876969411519656,0.28769694115196565,2.475879847717205,1.4120806407613493,1.7533558468603383,2.074256725719334,590.73,355.63986009167894,1.6610342829617528
2014-08-03 00:00:00+00:00,9368238.82754679,3728550.95915106,13096789.78669785,4658054717.15,97984033.13681698,0.715308024342112,0.28469197565788795,0.28469197565788795,2.512568268526444,1.4129354629086035,1.7782611693772534,2.162212786514957,584.74,355.6638529757188,1.6440804852887883
2014-08-04 00:00:00+00:00,9372978.41042891,3727011.37626894,13099989.78669785,4664436098.66,103015436.9928608,0.7154950929768307,0.2845049070231694,0.28450490702316933,2.5148778643686542,1.413793560282046,1.778815475624989,2.1641844963229557,588.24,356.0641019275006,1.6520620776305428
2014-08-05 00:00:00+00:00,9305656.9516226,3797707.83507525,13103364.78669785,4693256677.0,127193118.73990059,0.7101730817316044,0.2898269182683956,0.2898269182683956,2.450335137863024,1.414606920934522,1.73216679602011,2.0004018092345732,580.29,358.1718706148253,1.6201439800503998
2014-08-06 00:00:00+00:00,9309899.07258733,3797565.71411052,13107464.78669785,4696364456.68,128963069.91392136,0.7102745820103602,0.28972541798963986,0.2897254179896398,2.4515439029783663,1.4154222392082674,1.7320230211655183,1.9999037458473294,582.01,358.2969348463267,1.624378953310398
2014-08-07 00:00:00+00:00,9321933.96709705,3789530.81960078,13111464.78669783,4700082570.13,131812440.12886333,0.7109757848379055,0.2890242151620946,0.28902421516209453,2.4599177077227465,1.4162455885645884,1.7369287696888462,2.016921550972809,585.35,358.4712041402457,1.6329066135281314
2014-08-08 00:00:00+00:00,9330012.8069359,3785376.97976193,13115389.78669783,4703372212.35,127513963.10992813,0.7113789951099116,0.28862100489008846,0.28862100489008835,2.4647512934161413,1.4170740494933696,1.7393242747599083,2.025248932769081,588.5,358.6147486916748,1.641036801043487
